anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme,duration_min,aired_from_year
11013,Inu x Boku SS,Inu X Boku Secret Service,妖狐×僕SS,Youko x Boku SS,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,TV,Manga,12,Finished Airing,False,"Jan 13, 2012 to Mar 30, 2012","{'from': '2012-01-13', 'to': '2012-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,7.63,139250,1274.0,231,283882,2809,"Inu x Boku SS was licensed by Sentai Filmworks for North America, while MVM Films licensed it for the United Kingdom. During April 2013, Hanabee Entertainment released the series on DVD and Blu-ray for Australia and New Zealand.",Winter 2012,Fridays at Unknown,"{'Adaptation': [{'mal_id': 17207, 'type': 'manga', 'url': 'https://myanimelist.net/manga/17207/Inu_x_Boku_SS', 'title': 'Inu x Boku SS'}], 'Sequel': [{'mal_id': 13403, 'type': 'anime', 'url': 'https://myanimelist.net/anime/13403/Inu_x_Boku_SS_Special', 'title': 'Inu x Boku SS Special'}]}","Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",Sentai Filmworks,David Production,"Comedy, Supernatural, Romance, Shounen","['""Nirvana"" by MUCC']","['#1: ""Nirvana"" by MUCC (eps 1, 11-12)', '#2: ""Rakuen no Photograph (楽園のPhotograph)"" by Soushi Miketsukami (Yuichi Nakamura) (eps 2, 9)', '#3: ""Kimi wa (君は)"" by Ririchiyo Shirakiin (Rina Hidaka) (eps 3, 8)', '#4: ""one way"" by Banri Watanuki (Takuya Eguchi) & Zange Natsume (Mamoru Miyano) (ep 4)', '#5: ""SM Hantei Forum (SM判定フォーラム)"" by Kagerou Shoukiin (Tomokazu Sugita) (ep 5, 10)', '#6: ""sweets parade"" by Karuta Roromiya (Kana Hanazawa) (ep 6)', '#7: ""Taiyou to Tsuki (太陽と月)"" by Renshou Sorinozuka (Yoshimasa Hosoya) & Nobara Yukinokouji (Youko Hikasa) (ep 7)']",24.0,2012.0
2104,Seto no Hanayome,My Bride is a Mermaid,瀬戸の花嫁,The Inland Sea Bride,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,TV,Manga,26,Finished Airing,False,"Apr 2, 2007 to Oct 1, 2007","{'from': '2007-04-02', 'to': '2007-10-01'}",24 min. per ep.,PG-13 - Teens 13 or older,7.89,91206,727.0,366,204003,2579,,Spring 2007,Unknown,"{'Adaptation': [{'mal_id': 759, 'type': 'manga', 'url': 'https://myanimelist.net/manga/759/Seto_no_Hanayome', 'title': 'Seto no Hanayome'}], 'Sequel': [{'mal_id': 4163, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4163/Seto_no_Hanayome_OVA', 'title': 'Seto no Hanayome OVA'}], 'Side story': [{'mal_id': 5199, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5199/Seto_no_Hanayome_Fan_Disc', 'title': 'Seto no Hanayome Fan Disc'}], 'Alternative version': [{'mal_id': 28385, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28385/Seto_no_Hanayome_Picture_Drama', 'title': 'Seto no Hanayome Picture Drama'}]}","TV Tokyo, AIC, Square Enix, Sotsu",Funimation,Gonzo,"Comedy, Parody, Romance, School, Shounen","['""Romantic summer"" by SUN&LUNAR']","['#1: ""Ashita e no Hikari (明日への光)"" by Asuka Hinoi (1-13, 26)', '#2: ""Dan Dan Dan"" by SUN&LUNAR (eps 14-25)']",24.0,2007.0
5262,Shugo Chara!! Doki,Shugo Chara!! Doki,しゅごキャラ！！どきっ,"Shugo Chara Ninenme, Shugo Chara! Second Year",https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg,TV,Manga,51,Finished Airing,False,"Oct 4, 2008 to Sep 25, 2009","{'from': '2008-10-04', 'to': '2009-09-25'}",24 min. per ep.,PG - Children,7.55,37129,1508.0,1173,70127,802,,Fall 2008,Unknown,"{'Adaptation': [{'mal_id': 101, 'type': 'manga', 'url': 'https://myanimelist.net/manga/101/Shugo_Chara', 'title': 'Shugo Chara!'}], 'Prequel': [{'mal_id': 2923, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2923/Shugo_Chara', 'title': 'Shugo Chara!'}], 'Sequel': [{'mal_id': 7082, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7082/Shugo_Chara_Party', 'title': 'Shugo Chara! Party!'}]}","TV Tokyo, Sotsu",,Satelight,"Comedy, Magic, School, Shoujo","['#1: ""Minna no Tamago (みんなのたまご)"" by Shugo Chara Egg (eps 1-13)', '#2: ""Shugo Shugo! (しゅごしゅご!)"" by Shugo Chara Egg (eps 14-25)', '#3: ""Omakase♪Guardian (おまかせ♪ガーディアン)"" by Guardians 4 (eps 26-38)', '#4: ""School Days"" by Guardians 4 (eps 39-51)']","['#1: ""Rottara Rottara (ロッタラ ロッタラ)"" by Buono! (eps 1-17)', '#2: ""co.no.mi.chi"" Buono! (eps 18-25)', '#3: ""MY BOY"" by Buono! (eps 26-38)', '#4: ""Take it Easy!"" by Buono! (eps. 39-50)', '#5: ""Honto no Jibun (ホントのじぶん)"" by Buono! (ep 51)']",24.0,2008.0
721,Princess Tutu,Princess Tutu,プリンセスチュチュ,,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg,TV,Original,38,Finished Airing,False,"Aug 16, 2002 to May 23, 2003","{'from': '2002-08-16', 'to': '2003-05-23'}",16 min. per ep.,PG-13 - Teens 13 or older,8.21,36501,307.0,916,93312,3344,"Princess Tutu aired in two parts. The first part included 13 25-minute-long episodes, while the second part consisted of 24 12-minute-long episodes with a 25-minute-long final episode for a total of 25 episodes.",Summer 2002,Fridays at Unknown,"{'Adaptation': [{'mal_id': 1581, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1581/Princess_Tutu', 'title': 'Princess Tutu'}], 'Summary': [{'mal_id': 3265, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3265/Princess_Tutu_Recaps', 'title': 'Princess Tutu Recaps'}]}","Memory-Tech, GANSIS, Marvelous AQL",ADV Films,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy","['""Morning Grace"" by Ritsuko Okazaki']","['""Watashi No Ai Wa Chiisaikeredo"" by Ritsuko Okazaki']",16.0,2002.0
12365,Bakuman. 3rd Season,Bakuman.,バクマン。,Bakuman Season 3,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg,TV,Manga,25,Finished Airing,False,"Oct 6, 2012 to Mar 30, 2013","{'from': '2012-10-06', 'to': '2013-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,8.67,107767,50.0,426,182765,2082,,Fall 2012,Unknown,"{'Adaptation': [{'mal_id': 9711, 'type': 'manga', 'url': 'https://myanimelist.net/manga/9711/Bakuman', 'title': 'Bakuman.'}], 'Prequel': [{'mal_id': 10030, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10030/Bakuman_2nd_Season', 'title': 'Bakuman. 2nd Season'}, {'mal_id': 15711, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15711/Bakuman__Deraman', 'title': 'Bakuman.: Deraman.'}], 'Other': [{'mal_id': 23361, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23361/Bakuman_3rd_Season_Specials', 'title': 'Bakuman. 3rd Season Specials'}]}","NHK, Shueisha",,J.C.Staff,"Comedy, Drama, Romance, Shounen","['#1: ""Moshimo no Hanashi (もしもの話)"" by nano.RIPE (eps 1-13)', '#2: ""23:40 (23時40分) feat. Base Ball Bear"" by Hyadain (eps 14-25)']","['#1: ""Pride on Everyday"" by Sphere (eps 1-13)', '#2: ""Yume Sketch (夢スケッチ)"" by JAM Project (eps 14-24)', '#3: ""Moshimo no Hanashi (もしもの話)"" by nano.RIPE (ep 25)']",24.0,2012.0
6586,Yume-iro Pâtissière,,夢色パティシエール,"Yumeiro Patissiere, YumePati, Dream-Colored Pastry Chef, Yumeiro Pâtissière",https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg,TV,Manga,50,Finished Airing,False,"Oct 4, 2009 to Sep 26, 2010","{'from': '2009-10-04', 'to': '2010-09-26'}",24 min. per ep.,G - All Ages,8.03,21618,526.0,1630,45625,826,,Fall 2009,Unknown,"{'Adaptation': [{'mal_id': 10386, 'type': 'manga', 'url': 'https://myanimelist.net/manga/10386/Yume-iro_Pâtissière', 'title': 'Yume-iro Pâtissière'}], 'Side story': [{'mal_id': 8894, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8894/Yume-iro_Pâtissière__Mune_Kyun_Tropical_Island', 'title': 'Yume-iro Pâtissière: Mune Kyun Tropical Island!'}], 'Sequel': [{'mal_id': 9441, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9441/Yume-iro_Pâtissière_SP_Professional', 'title': 'Yume-iro Pâtissière SP Professional'}]}","Yomiuri Telecasting, DAX Production, Shueisha",,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo","['""Yume ni Yell! Patissiere♪ (夢にエール！パティシエール♪)"" by Mayumi Gojou']","['""Ichigo no Miracle (いちごのミラクルール)"" by Yukina Sugihara']",24.0,2009.0
178,Ultra Maniac,Ultramaniac - Magical Girl,ウルトラマニアック,,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,TV,Manga,26,Finished Airing,False,"May 20, 2003 to Nov 11, 2003","{'from': '2003-05-20', 'to': '2003-11-11'}",24 min. per ep.,G - All Ages,7.26,9663,2594.0,2490,22778,122,,Spring 2003,Tuesdays at 22:00 (JST),"{'Adaptation': [{'mal_id': 956, 'type': 'manga', 'url': 'https://myanimelist.net/manga/956/Ultra_Maniac', 'title': 'Ultra Maniac'}], 'Alternative version': [{'mal_id': 179, 'type': 'anime', 'url': 'https://myanimelist.net/anime/179/Ultra_Maniac_OVA', 'title': 'Ultra Maniac OVA'}]}","WAO World, Studio Jack","Discotek Media, Geneon Entertainment USA",Production Reed,"Magic, Comedy, Romance, School, Shoujo","['""Kagami no Naka"" by can/goo']","['""Hitotsu=Unmei Kyoudoutai"" by can/goo']",24.0,2003.0
2787,Shakugan no Shana II (Second),Shakugan no Shana: Season II,灼眼のシャナII –Second–,Shakugan no Shana 2,https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg,TV,Light novel,24,Finished Airing,False,"Oct 5, 2007 to Mar 28, 2008","{'from': '2007-10-05', 'to': '2008-03-28'}",24 min. per ep.,PG-13 - Teens 13 or older,7.72,126085,1066.0,332,220591,1075,,Fall 2007,Fridays at 01:25 (JST),"{'Adaptation': [{'mal_id': 3074, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3074/Shakugan_no_Shana', 'title': 'Shakugan no Shana'}], 'Prequel': [{'mal_id': 355, 'type': 'anime', 'url': 'https://myanimelist.net/anime/355/Shakugan_no_Shana', 'title': 'Shakugan no Shana'}], 'Spin-off': [{'mal_id': 3956, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3956/Shakugan_no_Shana_II_Second_Specials', 'title': 'Shakugan no Shana II (Second) Specials'}, {'mal_id': 14957, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14957/Shakugan_no_Shana__Friagne_to_Marianne_no_Naze_Nani_Shana_Nandemo_Shitsumonbako_2', 'title': 'Shakugan no Shana: Friagne to Marianne no Naze Nani Shana! Nandemo Shitsumonbako! 2'}], 'Sequel': [{'mal_id': 6572, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6572/Shakugan_no_Shana_S', 'title': 'Shakugan no Shana S'}]}","Geneon Universal Entertainment, ASCII Media Works",Funimation,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural","['#1: ""JOINT"" by Mami Kawada (eps 1-15)', '#2: ""BLAZE"" by KOTOKO (16-24)']","['#1: ""Triangle"" by Kawada Mami (eps 1-15)', '#2: ""Sociometry"" by KOTOKO (eps 16-23)', '#3: ""Sense"" by Kawada Mami (ep 24)']",24.0,2007.0
4477,Nodame Cantabile: Paris-hen,,のだめカンタービレ 巴里編,"Nodame Cantabile Paris Chapter, Nodame Cantabile Pari-hen",https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg,TV,Manga,11,Finished Airing,False,"Oct 10, 2008 to Dec 19, 2008","{'from': '2008-10-10', 'to': '2008-12-19'}",23 min. per ep.,PG-13 - Teens 13 or older,8.24,53908,281.0,988,85660,282,,Fall 2008,Fridays at 00:45 (JST),"{'Adaptation': [{'mal_id': 419, 'type': 'manga', 'url': 'https://myanimelist.net/manga/419/Nodame_Cantabile', 'title': 'Nodame Cantabile'}], 'Prequel': [{'mal_id': 1698, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1698/Nodame_Cantabile', 'title': 'Nodame Cantabile'}], 'Other': [{'mal_id': 5656, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5656/PuriGorota__Uchuu_no_Yuujou_Daibouken', 'title': 'PuriGorota: Uchuu no Yuujou Daibouken'}], 'Side story': [{'mal_id': 6187, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6187/Nodame_Cantabile_OVA', 'title': 'Nodame Cantabile OVA'}], 'Sequel': [{'mal_id': 8038, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8038/Nodame_Cantabile_Finale_Special', 'title': 'Nodame Cantabile Finale Special'}]}","Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment",,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei","['""Sky High!"" by The Gospellers']","['""東京 et 巴里 (Tokyo and Paris)"" by Emiri Miyamoto x Solita']",23.0,2008.0
853,Ouran Koukou Host Club,Ouran High School Host Club,桜蘭高校ホスト部,"Ohran Koko Host Club, Ouran Koukou Hosutobu, Ouran Koukou Host Bu, OHSHC",https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,TV,Manga,26,Finished Airing,False,"Apr 5, 2006 to Sep 27, 2006","{'from': '2006-04-05', 'to': '2006-09-27'}",23 min. per ep.,PG-13 - Teens 13 or older,8.34,335137,205.0,69,538843,24072,,Spring 2006,Wednesdays at 00:50 (JST),"{'Adaptation': [{'mal_id': 30, 'type': 'manga', 'url': 'https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club', 'title': 'Ouran Koukou Host Club'}]}","VAP, Hakusensha, Nippon Television Network",Funimation,Bones,"Comedy, Harem, Romance, School, Shoujo","['""Sakura Kiss"" by Chieko Kawabe']","['""Shissou"" by Last Alliance']",23.0,2006.0
4814,Junjou Romantica 2,Junjo Romantica 2,純情ロマンチカ2(に),"Junjou Romantica Second Season, Junjyou Romantica II",https://myanimelist.cdn-dena.com/images/anime/6/38417.jpg,TV,Manga,12,Finished Airing,False,"Oct 12, 2008 to Dec 28, 2008","{'from': '2008-10-12', 'to': '2008-12-28'}",24 min. per ep.,PG-13 - Teens 13 or older,8.15,66565,374.0,799,108186,1123,,Fall 2008,Unknown,"{'Adaptation': [{'mal_id': 765, 'type': 'manga', 'url': 'https://myanimelist.net/manga/765/Junjou_Romantica', 'title': 'Junjou Romantica'}], 'Prequel': [{'mal_id': 3092, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3092/Junjou_Romantica', 'title': 'Junjou Romantica'}], 'Sequel': [{'mal_id': 25649, 'type': 'anime', 'url': 'https://myanimelist.net/anime/25649/Junjou_Romantica_3', 'title': 'Junjou Romantica 3'}]}","Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",Nozomi Entertainment,Studio Deen,"Comedy, Drama, Romance, Shounen Ai","['""Shōdō (衝動)"" by Pigstar']","['""Aioi (相生-アイオイ-)"" by JUNED']",24.0,2008.0
7054,Kaichou wa Maid-sama!,Maid Sama!,会長はメイド様!,Class President is a Maid!,https://myanimelist.cdn-dena.com/images/anime/6/25254.jpg,TV,Manga,26,Finished Airing,False,"Apr 2, 2010 to Sep 24, 2010","{'from': '2010-04-02', 'to': '2010-09-24'}",24 min. per ep.,PG-13 - Teens 13 or older,8.2,315130,314.0,71,531292,14436,,Spring 2010,Fridays at 01:55 (JST),"{'Adaptation': [{'mal_id': 2921, 'type': 'manga', 'url': 'https://myanimelist.net/manga/2921/Kaichou_wa_Maid-sama', 'title': 'Kaichou wa Maid-sama!'}], 'Side story': [{'mal_id': 9366, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9366/Kaichou_wa_Maid-sama__Omake_dayo', 'title': 'Kaichou wa Maid-sama!: Omake dayo!'}, {'mal_id': 10298, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10298/Kaichou_wa_Maid-sama__Goshujinsama_to_Asonjao♥', 'title': 'Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥'}]}","Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",Sentai Filmworks,J.C.Staff,"Comedy, Romance, School, Shoujo","['""My Secret"" by Saaya Mizuno (水野佐彩)']","['#1: ""Yokan (予感)"" by heidi. (eps 1-15)', '#2: ""∞ Loop (∞ループ)"" by heidi. (eps 16-26)']",24.0,2010.0
